"Old URL","Destination","Status","Intent match"
"/uk","/","301","Бренд/мовний корінь"
"/ru","/","301","Бренд/мовний корінь"
"/services","/poslugy","301","Релевантний canonical"
"/contact","/kontakty","301","Релевантний canonical"
"/contacts","/kontakty","301","Релевантний canonical"
"/about","/pro-nas","301","Релевантний canonical"
"/works","/nashi-roboty","301","Релевантний canonical"
"/reviews","/vidguky","301","Релевантний canonical"
"/vidhuky","/vidguky","301","Релевантний canonical"
"/tsiny","/prices","301","Релевантний canonical"
"/myttya-plitky-cherkasy","/myttya-plytky-cherkasy","301","Релевантний canonical"
"/uk/tsiny-na-klining-cherkasy-2026","/prices","301","Релевантний canonical"
"/uk/price-uk","/prices","301","Релевантний canonical"
"/ru/price-ru","/prices","301","Релевантний canonical"
"/uk/services-uk","/poslugy","301","Релевантний canonical"
"/ru/services-ru","/poslugy","301","Релевантний canonical"
"/uk/services","/poslugy","301","Релевантний canonical"
"/ru/services","/poslugy","301","Релевантний canonical"
"/uk/blog-uk","/blog","301","Релевантний canonical"
"/ru/blog-ru","/blog","301","Релевантний canonical"
"/prybyrannya-kvartyr","/prybyrannya-kvartyr-cherkasy","301","Релевантний canonical"
"/uk/services/prybyrannya-kvartyr","/prybyrannya-kvartyr-cherkasy","301","Релевантний canonical"
"/uk/services/prybyrannya-kvartyry","/prybyrannya-kvartyr-cherkasy","301","Релевантний canonical"
"/ru/services/uborka-kvartir","/prybyrannya-kvartyr-cherkasy","301","Релевантний canonical"
"/generalne-prybyrannya","/generalne-prybyrannya-cherkasy","301","Релевантний canonical"
"/uk/services/generalne-prybyrannya","/generalne-prybyrannya-cherkasy","301","Релевантний canonical"
"/ru/services/generalnaya-uborka","/generalne-prybyrannya-cherkasy","301","Релевантний canonical"
"/uk/services/generalne-prybyrannya-kuhni","/generalne-prybyrannya-kuhni-cherkasy","301","Релевантний canonical"
"/uk/services/generalne-prybyrannya-kvartyry","/generalne-prybyrannya-kvartyry-cherkasy","301","Релевантний canonical"
